Gen	theta_1M	theta_2T	theta_3N	theta_4R	theta_5S	theta_6X	theta_7Y	tau_4R	tau_5S	tau_6X	tau_7Y	phi_X	phi_Y	lnL
5165	0.002077	0.002979	0.015661	0.004609	0.005313	0.009573	0.007384	0.004879	0.003090	0.000793	0.000793	0.459496	0.041301	-156147.885
5170	0.002032	0.002914	0.016074	0.004508	0.005629	0.008349	0.006430	0.004772	0.003039	0.000776	0.000776	0.457954	0.025617	-156199.261
5175	0.002097	0.003081	0.014404	0.004652	0.005984	0.004594	0.006637	0.004925	0.003070	0.000822	0.000822	0.512894	0.017890	-156136.148
5180	0.002064	0.003835	0.014537	0.004479	0.005732	0.004374	0.006762	0.004888	0.003081	0.001034	0.001034	0.526396	0.017890	-156165.555
5185	0.002128	0.003954	0.015049	0.004743	0.005839	0.006371	0.007490	0.004993	0.003200	0.001018	0.001018	0.569625	0.011947	-156211.624
5190	0.002054	0.003324	0.015441	0.005108	0.006194	0.006390	0.005965	0.004818	0.003112	0.001004	0.001004	0.526823	0.049997	-156231.972
5195	0.001980	0.003205	0.013744	0.004926	0.006443	0.008985	0.005328	0.004646	0.003122	0.000968	0.000968	0.563267	0.049997	-156157.468
5200	0.002342	0.003366	0.015274	0.005173	0.007191	0.010251	0.005596	0.004879	0.003322	0.000968	0.000968	0.525385	0.049997	-156136.007
5205	0.002284	0.003282	0.013751	0.005043	0.006032	0.009423	0.006267	0.004757	0.003322	0.001022	0.001022	0.565277	0.049997	-156149.592
5210	0.002523	0.003241	0.012301	0.004827	0.007229	0.009496	0.006188	0.004749	0.003070	0.000981	0.000981	0.591953	0.049997	-156166.126
5215	0.002594	0.003332	0.011902	0.005053	0.006343	0.010200	0.006397	0.004851	0.003326	0.000940	0.000940	0.611467	0.075016	-156137.484
5220	0.002594	0.002962	0.011534	0.005053	0.005153	0.009371	0.006397	0.004851	0.003480	0.001047	0.001047	0.644797	0.060659	-156194.289
5225	0.002580	0.003235	0.013056	0.004898	0.005279	0.011172	0.006989	0.004862	0.003643	0.001048	0.001048	0.609579	0.060659	-156156.536
5230	0.002472	0.003099	0.014923	0.004693	0.004083	0.008451	0.006463	0.004657	0.003486	0.001126	0.001126	0.582539	0.060659	-156184.254
5235	0.002637	0.003307	0.014815	0.005007	0.004377	0.008074	0.006500	0.004970	0.003709	0.001355	0.001355	0.643277	0.060659	-156191.344
5240	0.002597	0.003257	0.015500	0.004931	0.004371	0.012286	0.006401	0.004894	0.003643	0.001334	0.001334	0.643277	0.078745	-156178.753
5245	0.002540	0.003185	0.014851	0.004823	0.004003	0.010180	0.005324	0.004787	0.003558	0.001310	0.001310	0.578639	0.078745	-156181.669
5250	0.002540	0.003683	0.013406	0.005087	0.003871	0.013002	0.004934	0.004729	0.003633	0.001229	0.001229	0.534613	0.078745	-156155.693
5255	0.002150	0.003841	0.013054	0.005142	0.003442	0.015090	0.004835	0.004607	0.003801	0.001172	0.001172	0.491770	0.069873	-156150.898
5260	0.002150	0.003991	0.013405	0.005502	0.003584	0.014116	0.004545	0.004607	0.003697	0.001172	0.001172	0.442160	0.069873	-156174.904
5265	0.002088	0.003846	0.013925	0.005343	0.004886	0.017216	0.004414	0.004473	0.003688	0.001084	0.001084	0.428692	0.083206	-156152.698
5270	0.002088	0.003846	0.012309	0.005343	0.004872	0.016047	0.004530	0.004473	0.003609	0.000995	0.000995	0.405204	0.125233	-156170.412
